時間(秒),総合COP左右X(cm),総合COP前後Y(cm),左プレートCOP左右X(cm),左プレートCOP前後Y(cm),左荷重(kgf),右プレートCOP左右X(cm),右プレートCOP前後Y(cm),右荷重(kgf)
1.82,-2.293,-7.464,-20.33,-7.336,24.947,17.069,-7.602,23.239
1.83,-2.293,-7.464,-20.33,-7.336,24.947,17.069,-7.602,23.239
1.84,-2.293,-7.464,-20.33,-7.336,24.947,17.069,-7.602,23.239
1.85,-2.293,-7.464,-20.33,-7.336,24.947,17.069,-7.602,23.239
1.86,-2.293,-7.464,-20.33,-7.336,24.947,17.069,-7.602,23.239
1.87,-2.311,-7.461,-20.351,-7.33,24.966,17.069,-7.602,23.239
1.88,-2.315,-7.461,-20.338,-7.344,24.986,17.08,-7.587,23.219
1.89,-2.325,-7.452,-20.355,-7.334,24.986,17.086,-7.58,23.209
1.9,-2.325,-7.452,-20.355,-7.334,24.986,17.086,-7.58,23.209
1.91,-2.325,-7.452,-20.355,-7.334,24.986,17.086,-7.58,23.209
1.92,-2.324,-7.449,-20.361,-7.327,24.976,17.086,-7.58,23.209
1.93,-2.306,-7.452,-20.34,-7.333,24.956,17.086,-7.58,23.209
1.94,-2.323,-7.442,-20.361,-7.327,24.976,17.08,-7.566,23.219
1.95,-2.319,-7.433,-20.361,-7.327,24.976,17.064,-7.546,23.248
1.96,-2.307,-7.441,-20.351,-7.33,24.966,17.053,-7.561,23.268
1.97,-2.317,-7.433,-20.355,-7.314,24.986,17.053,-7.561,23.268
1.98,-2.317,-7.427,-20.349,-7.302,24.995,17.053,-7.561,23.268
1.99,-2.308,-7.419,-20.342,-7.289,25.005,17.066,-7.558,23.278
2,-2.278,-7.414,-20.338,-7.285,24.986,17.091,-7.551,23.297
2.01,-2.256,-7.417,-20.33,-7.277,24.947,17.08,-7.566,23.317
2.02,-2.255,-7.42,-20.33,-7.277,24.947,17.075,-7.573,23.326
2.03,-2.255,-7.42,-20.33,-7.277,24.947,17.075,-7.573,23.326
2.04,-2.258,-7.399,-20.349,-7.256,24.917,17.091,-7.551,23.297
2.05,-2.23,-7.396,-20.33,-7.251,24.868,17.091,-7.551,23.297
2.06,-2.233,-7.382,-20.336,-7.244,24.859,17.107,-7.529,23.268
2.07,-2.232,-7.375,-20.336,-7.244,24.859,17.102,-7.516,23.278
2.08,-2.23,-7.348,-20.355,-7.223,24.829,17.097,-7.481,23.287
2.09,-2.215,-7.347,-20.323,-7.231,24.8,17.095,-7.47,23.258
2.1,-2.234,-7.339,-20.343,-7.21,24.771,17.069,-7.476,23.239
2.11,-2.224,-7.337,-20.343,-7.21,24.771,17.082,-7.473,23.248
2.12,-2.203,-7.334,-20.343,-7.21,24.771,17.107,-7.466,23.268
2.13,-2.2,-7.345,-20.343,-7.21,24.771,17.091,-7.488,23.297
2.14,-2.216,-7.34,-20.332,-7.181,24.839,17.075,-7.51,23.326
2.15,-2.195,-7.338,-20.336,-7.185,24.859,17.113,-7.501,23.356
2.16,-2.189,-7.326,-20.336,-7.185,24.859,17.085,-7.475,23.404
2.17,-2.188,-7.329,-20.336,-7.185,24.859,17.08,-7.482,23.414
2.18,-2.218,-7.311,-20.362,-7.164,24.898,17.091,-7.468,23.395
2.19,-2.22,-7.294,-20.349,-7.139,24.917,17.096,-7.46,23.385
2.2,-2.211,-7.296,-20.338,-7.141,24.908,17.096,-7.46,23.385
2.21,-2.206,-7.286,-20.323,-7.14,24.878,17.1,-7.441,23.346
2.22,-2.229,-7.271,-20.336,-7.126,24.859,17.091,-7.426,23.297
2.23,-2.232,-7.264,-20.336,-7.126,24.859,17.102,-7.411,23.278
2.24,-2.233,-7.26,-20.336,-7.126,24.859,17.107,-7.404,23.268
2.25,-2.233,-7.26,-20.336,-7.126,24.859,17.107,-7.404,23.268
2.26,-2.243,-7.262,-20.336,-7.126,24.859,17.095,-7.407,23.258
2.27,-2.252,-7.257,-20.357,-7.12,24.878,17.107,-7.404,23.268
2.28,-2.262,-7.267,-20.349,-7.139,24.917,17.107,-7.404,23.268
2.29,-2.26,-7.27,-20.349,-7.139,24.917,17.102,-7.411,23.278
2.3,-2.259,-7.288,-20.33,-7.16,24.947,17.091,-7.426,23.297
2.31,-2.277,-7.285,-20.351,-7.154,24.966,17.091,-7.426,23.297
2.32,-2.29,-7.273,-20.361,-7.151,24.976,17.107,-7.404,23.268
2.33,-2.281,-7.274,-20.351,-7.154,24.966,17.107,-7.404,23.268
2.34,-2.286,-7.259,-20.349,-7.139,24.917,17.098,-7.388,23.219
2.35,-2.296,-7.26,-20.349,-7.139,24.917,17.086,-7.391,23.209
2.36,-2.296,-7.26,-20.349,-7.139,24.917,17.086,-7.391,23.209
2.37,-2.296,-7.26,-20.349,-7.139,24.917,17.086,-7.391,23.209
2.38,-2.297,-7.257,-20.349,-7.139,24.917,17.091,-7.383,23.2
2.39,-2.297,-7.257,-20.349,-7.139,24.917,17.091,-7.383,23.2
2.4,-2.296,-7.264,-20.342,-7.146,24.927,17.086,-7.391,23.209
2.41,-2.315,-7.268,-20.351,-7.154,24.966,17.086,-7.391,23.209
2.42,-2.312,-7.272,-20.361,-7.151,24.976,17.088,-7.402,23.239
2.43,-2.302,-7.271,-20.361,-7.151,24.976,17.1,-7.399,23.248
2.44,-2.31,-7.276,-20.361,-7.151,24.976,17.082,-7.41,23.248
2.45,-2.303,-7.261,-20.355,-7.139,24.986,17.106,-7.392,23.239
2.46,-2.305,-7.256,-20.351,-7.134,24.966,17.098,-7.388,23.219
2.47,-2.306,-7.239,-20.34,-7.098,24.956,17.086,-7.391,23.209
2.48,-2.296,-7.234,-20.33,-7.101,24.947,17.08,-7.377,23.219
2.49,-2.266,-7.233,-20.336,-7.094,24.937,17.124,-7.381,23.239
2.5,-2.273,-7.214,-20.349,-7.08,24.917,17.1,-7.357,23.248
2.51,-2.262,-7.206,-20.349,-7.08,24.917,17.107,-7.341,23.268
2.52,-2.272,-7.207,-20.349,-7.08,24.917,17.095,-7.344,23.258
2.53,-2.262,-7.206,-20.349,-7.08,24.917,17.107,-7.341,23.268
2.54,-2.262,-7.206,-20.349,-7.08,24.917,17.107,-7.341,23.268
2.55,-2.262,-7.206,-20.349,-7.08,24.917,17.107,-7.341,23.268
2.56,-2.259,-7.213,-20.349,-7.08,24.917,17.097,-7.355,23.287
2.57,-2.258,-7.217,-20.349,-7.08,24.917,17.091,-7.363,23.297
2.58,-2.258,-7.217,-20.349,-7.08,24.917,17.091,-7.363,23.297
2.59,-2.258,-7.217,-20.349,-7.08,24.917,17.091,-7.363,23.297
2.6,-2.258,-7.217,-20.349,-7.08,24.917,17.091,-7.363,23.297
2.61,-2.257,-7.209,-20.362,-7.066,24.898,17.091,-7.363,23.297
2.62,-2.239,-7.209,-20.347,-7.064,24.868,17.091,-7.363,23.297
2.63,-2.229,-7.21,-20.336,-7.067,24.859,17.091,-7.363,23.297
2.64,-2.229,-7.21,-20.336,-7.067,24.859,17.091,-7.363,23.297
2.65,-2.229,-7.21,-20.336,-7.067,24.859,17.091,-7.363,23.297
2.66,-2.229,-7.21,-20.336,-7.067,24.859,17.091,-7.363,23.297
2.67,-2.227,-7.221,-20.33,-7.074,24.868,17.08,-7.378,23.317
2.68,-2.216,-7.227,-20.328,-7.085,24.898,17.1,-7.379,23.346
2.69,-2.215,-7.224,-20.338,-7.083,24.908,17.113,-7.376,23.356
2.7,-2.206,-7.226,-20.328,-7.085,24.898,17.113,-7.376,23.356
2.71,-2.196,-7.24,-20.33,-7.113,24.868,17.113,-7.376,23.356
2.72,-2.194,-7.251,-20.336,-7.126,24.859,17.107,-7.383,23.365
2.73,-2.192,-7.251,-20.33,-7.113,24.868,17.096,-7.398,23.385
2.74,-2.192,-7.245,-20.323,-7.101,24.878,17.096,-7.398,23.385
2.75,-2.192,-7.238,-20.336,-7.087,24.859,17.096,-7.398,23.385
2.76,-2.195,-7.217,-20.336,-7.067,24.859,17.113,-7.376,23.356
2.77,-2.215,-7.226,-20.343,-7.08,24.849,17.087,-7.382,23.336
2.78,-2.226,-7.221,-20.336,-7.067,24.859,17.075,-7.385,23.326
